ID;Nom;Statut;Etape;Pipeline;Montant HT;Probabilite %;Date cloture;Client;Email client;Responsable;Tags;Source;Date creation;Description
4990740;76-Theobora-Le Havre-Totem-202109;lost;Devis froid;Commercial;8530.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-01;
5000790;33-BTP Expertise-Bordeaux-Palissade bois-202110;lost;Budget;Commercial;127761.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-02;
5003722;DE-Goethe Institu-Berlin-Totem-202110;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-04;
5010992;75-Lanfry-Paris-Assemblée Nationale-202110;lost;Devis froid;Commercial;34780.85;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-04;
5038914;33-Algeco-Pauillac-Baron Philippe de Rothschild-202110;won;Devis chaud;Commercial;4580.00;90;;;;;;Client existant;2021-10-05;
5044732;26-Berthouly-Montelimar-Caisson Grue-202110;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-06;
5058809;92-Eiffage Génie Civil Réseaux-La Défense-Panneaux-202110;lost;Devis froid;Commercial;3210.00;30;;;;;;Bouche à oreille / Prescription;2021-10-06;
5060822;33-A2LC-Bordeaux-Palissade Bois-202110;lost;Budget;Commercial;127761.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-06;
5062759;62-Algeco-Dunkerque-Habillage vitre-202110;closed;Qualifié;Commercial;0.00;0;;;;;;Client existant;2021-10-06;
5065413;75-Atland-IDF-Panneaux Logo-202110;closed;Budget;Commercial;300.00;0;;;;;;Commercial / Partenaire;2021-10-07;
5082026;73-ESPACS-Saint jean de Maurienne-Palissade-202110;lost;Devis froid;Commercial;68560.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-07;
5084042;31-Algeco-Toulouse-CNES-202110;cancelled;Devis froid;Commercial;118412.67;30;;;;;;Client existant;2021-10-07;
5090924;34-Commune-La Grande Motte-Totem-202110;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-08;
5090998;75-Hibana Immo-Paris-Altize-202110;lost;Devis froid;Commercial;10000.00;30;;;;;;Commercial / Partenaire;2021-10-08;
5091109;92-Chantiers Modernes-Paris La Défense-Habillage Mural-202110;lost;Devis froid;Commercial;5967.08;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-08;
5091994;92-Cougnaud-Chatenay Malabry-Bandeau Eiffage-202110;won;Devis froid;Commercial;3113.75;30;;;;;;Client existant;2021-10-08;
5105885;92-Eiffage Energie-Malakoff-Palissade-202110;lost;Devis froid;Commercial;23708.84;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-13;
5107267;02-Intersnack-Montigny-Lengrain-Module-202110;lost;Devis froid;Commercial;4792.69;30;;;;;;Bouche à oreille / Prescription;2021-10-13;
5115666;45-Pierreval-Chapelle Saint-Mesmin-Palissade-202110;lost;Devis froid;Commercial;5170.00;30;;;;;;Client existant;2021-10-15;
5126315;93-Mairie-Bagnolet-Totem-202110;lost;Devis froid;Commercial;11938.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-16;
5130048;78-H.Chevalier-Versailles-Echafaudage-202110;closed;Qualifié;Commercial;0.00;0;;;;;;Client existant;2021-10-18;
5130163;FR-IDEC-FR-AO-202110;lost;Devis froid;Commercial;0.00;30;;;;;;Client existant;2021-10-18;
5130704;92-Woodeum-Clichy-Altize-202110;won;Devis chaud;Commercial;7645.00;90;;;;;;Commercial / Partenaire;2021-10-18;
5130999;54-Algeco-Nancy-Habillage Module-202110;won;Devis froid;Commercial;3620.00;30;;;;;;Client existant;2021-10-18;
